DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Avg Ambient Air Temperature [c],Area,Idling portion,Duration,CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
11/15/2019 14:57,45.51407,-73.56908,44.31015,1.188,0,815.5,6.11E-16,1.537722,10,4.66,40,100,1.003114,11,7.2,City,0.422501496,1,16.34,33.9,0.091790531,0.30669011,0.317993962,163400,281910.8011,0.001016091,1.016091216,10,0,2.5,3278,1487
11/15/2019 14:57,45.51408,-73.56908,44.5314,2.844,3,870,0.2733988,1.760628,10,5.31,35,100,1.003114,11,7.2,City,0.422501496,1,16.35,33.9,0.091790531,0.351147473,0.362349343,163500,282083.3291,0.001158529,1.158529258,10,0,2.5,3278,1487
11/15/2019 14:57,45.51408,-73.56909,44.23349,2.844,4,755,0.3872063,1.220172,10,3.68,42,100,1.003114,11,7.2,City,0.422501496,1,16.41,34,0.091790531,0.243356527,0.251119695,164100,283026.2763,0.000805582,0.80558179,10,0,2.5,3278,1487
11/15/2019 14:57,45.51408,-73.5691,43.77993,2.844,4,755,0.3872063,1.220172,10,3.68,42,100,1.003114,11,7.2,City,0.422501496,1,16.39,33.9,0.091790531,0.243356527,0.251119695,163900,282773.4412,0.000804862,0.804862142,10,0,2.5,3278,1487
11/15/2019 14:57,45.51408,-73.56911,44.04214,4.572,4,739.25,0.1138075,1.419113,10,4.28,45,100,1.003114,11,7.2,City,0.422501496,1,16.65,34,0.091790531,0.283034204,0.292063124,166500,287165.6003,0.000950629,0.950629414,10,0,2.5,3278,1487
11/15/2019 14:58,45.51409,-73.56914,43.73416,7.164,5,1228.5,0.1114506,3.242739,10,9.78,54,101,0.988932,10,7.2,City,0.422501496,1,16.63,34,0.091790531,0.646746278,0.657942514,166300,289688.8632,0.00219132,2.191319577,10,0,2.5,3278,1487
11/15/2019 14:58,45.5141,-73.56917,44.00735,7.164,11,1656.25,0.6485332,4.610995,10,13.71,56,100,0.998021,10,7.2,City,0.422501496,1,16.65,34,0.091790531,0.919637336,0.930807341,166500,287165.6003,0.003045124,3.04512366,10,0,2.5,3278,1487
11/15/2019 14:58,45.51411,-73.5692,43.74026,10.08,11,1656.25,0.6485332,4.610995,10,13.71,56,100,0.998021,10,7.2,City,0.422501496,1,16.93,34,0.06241078,0.919637336,0.930807341,169300,291994.8115,0.003096333,3.096332946,10,0,2.5,3278,1487
11/15/2019 14:58,45.51413,-73.56924,44.09231,10.08,15,1485.25,0.9816734,4.355716,10,13.07,58,100,1.003267,10,7.2,City,0.422501496,1,16.77,33.9,0.033188683,0.868723358,0.892020387,167700,289329.5064,0.002924849,2.924848518,10,0,2.5,3278,1487
11/15/2019 14:58,45.51415,-73.56928,43.88095,18.648,18,1408.25,0.7640314,2.940565,10,8.87,28,100,1.00226,10,7.2,City,0.422501496,1,16.86,33.9,0.018293962,0.586479353,0.604765048,168600,290882.2586,0.001995611,1.995611133,10,0,2.5,3278,1487
11/15/2019 14:58,45.51419,-73.56934,43.52999,18.648,18,1408.25,0.7640314,2.940565,10,8.87,28,100,1.00226,10,7.2,City,0.422501496,1,16.94,33.9,-0.011243658,0.586479353,0.604765048,169400,292262.4829,0.00200508,2.005080225,10,0,2.5,3278,1487
11/15/2019 14:58,45.51421,-73.5694,43.61984,17.064,19,1001,0.4305373,1.042012,9,3.14,26,100,1.003023,9,7.2,City,0.422501496,1,16.94,34,-0.021006317,0.207823504,0.214251171,169400,292167.2834,0.000709572,0.709571715,10,0,2.5,3278,1487
11/15/2019 14:58,45.51424,-73.56944,43.36438,16.524,17,832,-0.06693946,0.9715841,9,2.93,31,100,1.003023,9,7.2,City,0.422501496,1,16.95,33.9,-0.019716707,0.193777051,0.199922271,169500,292435.0109,0.000662723,0.662723012,10,0,2.5,3278,1487
11/15/2019 14:58,45.51426,-73.5695,43.58737,15.516,15,1138.75,-0.4027954,2.145443,9,6.47,46,100,1.002748,9,7.2,City,0.422501496,1,16.95,34,-0.011762942,0.427896687,0.441345548,169500,292339.7552,0.001462942,1.46294239,10,0,2.5,3278,1487
11/15/2019 14:58,45.5143,-73.56954,43.32293,18.108,17,1430.75,-0.02366805,3.631999,9,10.95,52,100,1.002779,9,7.2,City,0.422501496,1,16.95,33.9,-0.018136553,0.724382023,0.746968031,169500,292435.0109,0.002476729,2.476729345,10,0,2.5,3278,1487
11/15/2019 14:58,45.51434,-73.5696,42.67617,19.728,17,1430.75,-0.02366805,3.631999,9,10.95,52,100,1.002779,9,7.2,City,0.422501496,1,16.95,34,-0.01645746,0.724382023,0.746968031,169500,292339.7552,0.002475923,2.475922592,10,0,2.5,3278,1487
11/15/2019 14:58,45.51438,-73.56965,42.59005,19.728,17,1430.75,-0.02366805,3.631999,9,10.95,52,100,1.002779,9,7.2,City,0.422501496,1,16.95,34,-0.02043238,0.724382023,0.746968031,169500,292339.7552,0.002475923,2.475922592,10,0,2.5,3278,1487
11/15/2019 14:58,45.51441,-73.56972,42.28576,20.772,17,1430.75,-0.02366805,3.631999,9,10.95,52,100,1.002779,9,7.2,City,0.422501496,1,16.95,34,-0.002675082,0.724382023,0.746968031,169500,292339.7552,0.002475923,2.475922592,10,0,2.5,3278,1487
