DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Total Fuel Economy [L/100km],Trip Fuel [L],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
8/27/2024 10:07,45.5057,-73.57575,67.8,1.363808,2,630,0.09173941,1.293409,57,3.855809,54,101,0.9950625,27,5397.505,0.1269689,17.45,39043.51,0.003801,0.4781,0,0,1.853963,14.6977,30.364,0.073601221,0.257963239,0.261004826,0.01745,5.20E-11,5.20E-08,0.881116821,2.63E-09,2.63E-06,0,0,0,146977,259097.5237,0.000772705,0.772705208,2,3,3.5,9070,4114
8/27/2024 10:07,45.50569,-73.57574,68,1.541696,2,630,0.09173941,1.293409,57,3.855809,54,101,0.9950625,27,5397.505,0.1269689,0,83333.33,0.003508,0.4413,0,0,1.852205,14.6837,30.373,0.073601217,0.257963239,0.261004826,0,0,0,0.813271946,2.43E-09,2.43E-06,0,0,0,146837,258843.0463,0.000771946,0.771946282,2,3,3.5,9070,4114
8/27/2024 10:07,45.50568,-73.57576,68.2,1.710319,2,631.25,-0.1075255,1.276083,57,3.817734,53,101,0.9878645,27,4142.881,0.1274347,0,137556.41,0.005169,0.6501,0,0,1.853963,14.6977,30.398,0.073601217,0.254507665,0.256558088,0,0,0,1.197970829,3.54E-09,3.54E-06,0,0,0,146977,259068.4881,0.000764989,0.76498923,2,3,3.5,9070,4114
8/27/2024 10:07,45.50568,-73.57576,68.9,1.802969,1,630.75,-0.08990946,1.239331,57,3.680958,51,101,0.994117,27,3650.745,0.1279621,0,186837.18,0.003801,0.4781,0,0,1.85201,14.6822,30.398,0.073601217,0.247177683,0.248932172,0,0,0,0.881018079,2.51E-09,2.51E-06,0,0,0,146822,258795.2779,0.000736805,0.736804508,2,3,3.5,9070,4114
8/27/2024 10:07,45.50568,-73.57576,69.3,1.906737,1,622.5,-0.08990946,1.302946,57,3.894398,54,101,0.991494,27,3336.774,0.1284133,9.95,223495.72,0.002141,0.2693,0,0,1.854159,14.6992,30.473,0.073601217,0.259865341,0.262671582,0.00995,3.00E-11,3.00E-08,0.49612954,1.49E-09,1.49E-06,0,0,0,146992,259030.8954,0.000780238,0.780237761,2,3,3.5,9070,4114
8/27/2024 10:07,45.50566,-73.57576,69.6,2.014211,1,622.5,-0.08990946,1.302946,57,3.894398,54,101,0.991494,27,3336.774,0.1284133,71.88,234317.05,0.001066,0.1341,0,0,1.853768,14.6961,30.298,0.073601217,0.259865341,0.262671582,0.07188,2.17E-10,2.17E-07,0.247194055,7.45E-10,7.45E-07,0,0,0,146961,259125.6937,0.000780523,0.780523307,2,3,3.5,9070,4114
8/27/2024 10:07,45.50566,-73.57576,70,2.09389,2,629.75,0.1026554,1.26543,57,3.772285,53,101,0.9967095,27,2802.416,0.1289132,36.57,262276.36,0.001555,0.1955,0,0,1.855136,14.707,30.423,0.058880974,0.252382983,0.255773626,0.03657,1.07E-10,1.07E-07,0.360227658,1.05E-09,1.05E-06,0,0,0,147070,259211.0553,0.000756298,0.756298225,2,3,3.5,9070,4114
8/27/2024 10:07,45.50565,-73.57575,70.1,2.103155,3,620.5,0.2049001,1.297497,57,3.888223,54,101,1.009672,27,2257.023,0.1293742,0,310180.74,0.001848,0.2324,0,0,1.85328,14.6922,30.406,0.04416073,0.258778568,0.267063258,0,0,0,0.42824347,1.29E-09,1.29E-06,0,0,0,146922,258964.7142,0.000778802,0.778801576,2,3,3.5,9070,4114
8/27/2024 10:07,45.50565,-73.57574,70.2,2.086478,3,624.75,0.1022447,1.238655,57,3.760165,53,101,0.996862,27,1855.435,0.1299054,0,327810.05,0.004094,0.515,0,0,1.857187,14.7232,30.464,0.029440487,0.247042858,0.254990857,0,0,0,0.9488091,2.76E-09,2.76E-06,0,0,0,147232,259461.5208,0.000754597,0.754596743,2,3,3.5,9070,4114
8/27/2024 10:07,45.50565,-73.57574,70.3,2.119832,3,624.75,0.1022447,1.238655,57,3.760165,53,101,0.996862,27,1855.435,0.1299054,0,353445.17,0.002727,0.343,0,0,1.854647,14.7031,30.448,0.029440485,0.247042858,0.254990857,0,0,0,0.631958604,1.84E-09,1.84E-06,0,0,0,147031,259120.9679,0.000753606,0.753606307,2,3,3.5,9070,4114
8/27/2024 10:07,45.50564,-73.57573,70.3,2.156892,3,623.25,-7.17E-15,1.239332,57,3.714487,52,101,1.010038,27,1622.189,0.1303219,0,372123.06,0.00302,0.3798,0,0,1.856112,14.7147,30.414,0.014720242,0.247177882,0.255222654,0,0,0,0.69983899,2.01E-09,2.01E-06,0,0,0,147147,259354.4607,0.000745122,0.745122417,2,3,3.5,9070,4114
8/27/2024 10:07,45.50563,-73.57572,70.4,2.203217,3,625.5,-7.17E-15,1.220228,57,3.705569,52,101,0.9907315,27,1395.715,0.1308714,37.68,388652.53,0.002336,0.2938,0,0,1.854159,14.6992,30.489,0.014720242,0.243367696,0.249743125,0.03768,1.08E-10,1.08E-07,0.541237186,1.55E-09,1.55E-06,0,0,0,146992,259017.2392,0.000742367,0.742366967,2,3,3.5,9070,4114
8/27/2024 10:07,45.50562,-73.57572,70.6,2.288455,3,625.5,-7.17E-15,1.220228,57,3.705569,52,101,0.9907315,27,1395.715,0.1308714,0,388968.01,0.002922,0.3675,0,0,1.854647,14.7031,30.514,0.014720242,0.243367696,0.249743125,0,0,0,0.676951267,1.94E-09,1.94E-06,0,0,0,147031,259064.6213,0.000742503,0.742502769,2,3,3.5,9070,4114
8/27/2024 10:08,45.50562,-73.57571,70.7,2.381105,2,617.75,-0.1030986,1.272507,57,3.790465,53,101,0.985699,27,1297.319,0.1313545,0,388445.14,0.002825,0.3553,0,0,1.854745,14.7039,30.497,0.014720242,0.253794452,0.254167181,0,0,0,0.654514987,1.92E-09,1.92E-06,0,0,0,147039,259093.2291,0.000759598,0.759597661,2,3,3.5,9070,4114
8/27/2024 10:08,45.50562,-73.5757,70.8,2.473755,2,620.75,-0.1030986,1.28699,57,3.814133,54,101,0.9935985,27,1205.531,0.1318784,0,396909.2,0.003508,0.4413,0,0,1.856796,14.7201,30.439,-0.010428222,0.256683006,0.257803866,0,0,0,0.813095054,2.40E-09,2.40E-06,0,0,0,147201,259428.2629,0.000765329,0.765329027,2,3,3.5,9070,4114
8/27/2024 10:08,45.50561,-73.5757,70.8,2.546022,2,621.75,-7.17E-15,1.2592,57,3.76168,53,101,1.009763,27,1131.17,0.1323502,0,398390.04,0.002434,0.3061,0,0,1.85455,14.7023,30.539,0.002367632,0.251140444,0.258394917,0,0,0,0.56380331,1.64E-09,1.64E-06,0,0,0,147023,259029.1897,0.000753643,0.753642913,2,3,3.5,9070,4114
8/27/2024 10:08,45.5056,-73.57568,70.7,2.616436,2,621.75,-7.17E-15,1.2592,57,3.76168,53,101,1.009763,27,1131.17,0.1323502,0,397619.87,0.004094,0.515,0,0,1.857089,14.7224,30.514,-0.012352606,0.251140444,0.258394917,0,0,0,0.948652796,2.76E-09,2.76E-06,0,0,0,147224,259404.6821,0.000754735,0.754735404,2,3,3.5,9070,4114
8/27/2024 10:08,45.5056,-73.57568,70.7,2.672026,4,636,0.2097373,1.194206,57,3.625561,51,101,1.00101,27,1008.186,0.1327968,0,402458.52,0.002043,0.257,0,0,1.854843,14.7046,30.506,-0.012352606,0.238177752,0.246885906,0,0,0,0.473417854,1.33E-09,1.33E-06,0,0,0,147046,259097.8802,0.000726564,0.726564444,2,3,3.5,9070,4114
8/27/2024 10:08,45.5056,-73.57566,70.8,2.74244,4,621,0.2097373,1.25642,57,3.781375,52,101,1.004334,27,912.7805,0.1332332,0,394147.16,0.00429,0.5395,0,0,1.855917,14.7131,30.547,0.002367631,0.250585989,0.258351257,0,0,0,0.993674842,2.91E-09,2.91E-06,0,0,0,147131,259212.6353,0.000758125,0.758125283,2,3,3.5,9070,4114
8/27/2024 10:08,45.50559,-73.57565,70.7,2.788765,4,629.5,-7.16E-15,1.199213,57,3.621188,51,101,0.9943305,27,825.9339,0.1337178,0,397093.93,0.002922,0.3675,0,0,1.855136,14.707,30.489,0.002367631,0.239176371,0.244942699,0,0,0,0.677007031,1.90E-09,1.90E-06,0,0,0,147070,259154.6844,0.000725847,0.725847191,2,3,3.5,9070,4114
8/27/2024 10:08,45.50558,-73.57564,70.8,2.840649,4,629.5,-7.16E-15,1.199213,57,3.621188,51,101,0.9943305,27,825.9339,0.1337178,120.27,411542.49,0.003997,0.5027,0,0,1.857871,14.7286,30.539,0.012795853,0.239176371,0.244942699,0.12027,3.37E-10,3.37E-07,0.925919385,2.59E-09,2.59E-06,0,0,0,147286,259492.5504,0.000726793,0.726793495,2,3,3.5,9070,4114
8/27/2024 10:08,45.50557,-73.57563,70.8,2.907357,4,624.5,-7.16E-15,1.179707,57,3.526802,49,101,1.014796,27,759.6021,0.134149,0,402439.24,0.003704,0.4658,0,0,1.854354,14.7008,30.564,-8.42E-10,0.235286007,0.243468338,0,0,0,0.857882893,2.34E-09,2.34E-06,0,0,0,147008,258981.4321,0.000706455,0.706455436,2,3,3.5,9070,4114
