DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Total Fuel Economy [L/100km],Trip Fuel [L],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
7/18/2023 11:32,45.50691,-73.58195,93.6,10.65475,14,1424.75,0.001847035,0,60,14.42819,88,100,1.004091,26,48.48052,0,0,0,0.005931,0.7462,0,0,1.66625,13.6034,34.919,-0.029382351,0,0.985524879,0,0,0,1.341455201,1.50E-08,1.50E-05,0,0,0,136034,233920.0955,0.002610444,2.610444414,1,3,3.5,9070,4114
7/18/2023 11:32,45.50694,-73.58199,93.3,11.89811,18,1496,0.1564406,4.812744,60,14.52921,90,100,0.990457,26,47.67142,0.00473218,0,0,0.005442,0.6848,0,0,1.668204,13.6194,34.902,-0.027848254,0.959875053,0.978949507,0,0,0,1.231143449,1.38E-08,1.38E-05,0,0,0,136194,234208.1573,0.002631959,2.631958776,1,3,3.5,9070,4114
7/18/2023 11:32,45.50698,-73.58203,93.1,13.17483,18,1496,0.1564406,4.812744,60,14.52921,90,100,0.990457,26,47.67142,0.00473218,0,0,0.004661,0.5865,0.000192,0.5123,1.670255,13.6361,34.894,-0.019096312,0.959875053,0.978949507,0,0,0,1.054445669,1.18E-08,1.18E-05,0.600750732,6.75E-09,6.75E-06,136361,234501.4344,0.002635255,2.635254533,1,3,3.5,9070,4114
7/18/2023 11:32,45.50702,-73.58207,93,14.01239,19,1216.75,0.2657539,3.187634,60,9.492496,56,100,1.029101,26,47.24533,0.0058591,0,0,0.003977,0.5004,0,0,1.671036,13.6425,34.919,-0.015416225,0.635755892,0.664539941,0,0,0,0.899576766,6.60E-09,6.60E-06,0,0,0,136425,234592.4477,0.001722382,1.722382142,1,3,3.5,9070,4114
7/18/2023 11:32,45.50705,-73.58211,93.2,14.92592,19,1216.75,0.2657539,3.187634,60,9.492496,56,100,1.029101,26,47.24533,0.0058591,0,0,0.003586,0.4513,0,0,1.671232,13.6441,34.935,-0.009648507,0.635755892,0.664539941,0,0,0,0.811266787,5.96E-09,5.96E-06,0,0,0,136441,234607.7702,0.001722495,1.72249464,1,3,3.5,9070,4114
7/18/2023 11:32,45.50709,-73.58214,93.2,15.62264,17,1345.5,-0.04334043,3.430984,60,10.6158,77,100,0.9934765,26,46.77261,0.007581881,0,0,0.003684,0.4636,0,0,1.672404,13.6537,34.91,-0.01210191,0.684290698,0.717452233,0,0,0,0.833445201,6.84E-09,6.84E-06,0,0,0,136537,234791.9023,0.00192784,1.927839644,1,3,3.5,9070,4114
7/18/2023 11:32,45.50713,-73.58218,93,16.19707,17,1368.5,-0.1526537,4.134239,60,12.34893,81,100,1.027057,26,46.50173,0.009101935,0,0,0.003196,0.4021,0,0,1.677972,13.6991,34.919,-0.012401152,0.824551001,0.862792857,0,0,0,0.722861346,6.90E-09,6.90E-06,0,0,0,136991,235565.7248,0.002249969,2.249968788,1,3,3.5,9070,4114
7/18/2023 11:32,45.50716,-73.58221,92.8,16.58064,15,1437.25,-0.2045788,4.218072,60,13.02521,84,100,1.016351,26,46.29087,0.01066546,0,0,0.004075,0.5127,0,0,1.687349,13.7757,34.927,-0.029111757,0.841271027,0.900556817,0,0,0,0.921664719,9.29E-09,9.29E-06,0,0,0,137757,236876.7618,0.002386395,2.386394591,1,3,3.5,9070,4114
7/18/2023 11:32,45.5072,-73.58224,92.7,16.74927,15,1437.25,-0.2045788,4.218072,60,13.02521,84,100,1.016351,26,46.29087,0.01066546,0,0,0.003391,0.4267,0,0,1.690377,13.8004,34.902,-0.048738929,0.841271027,0.900556817,0,0,0,0.767127496,7.73E-09,7.73E-06,0,0,0,138004,237320.7524,0.002390868,2.390867536,1,3,3.5,9070,4114
7/18/2023 11:32,45.50724,-73.58227,92.5,16.71035,16,1393.5,-0.09198979,4.476639,60,13.67957,84,100,1.041819,26,46.09469,0.01219968,0,0,0.003684,0.4636,0,0,1.692233,13.8156,34.919,-0.052241227,0.892840778,0.969499043,0,0,0,0.833420841,8.82E-09,8.82E-06,0,0,0,138156,237569.0248,0.002513607,2.513606702,1,3,3.5,9070,4114
7/18/2023 11:32,45.50727,-73.5823,92.1,16.24154,16,1232.25,0.1125891,3.276518,60,10.26316,65,100,1.042032,26,45.78402,0.01349368,0,0,0.001926,0.2423,0,0,1.69194,13.8132,34.894,-0.053290128,0.653483312,0.727519806,0,0,0,0.4356218,3.46E-09,3.46E-06,0,0,0,138132,237547.0416,0.00188567,1.885670427,1,3,3.5,9070,4114
7/18/2023 11:32,45.50729,-73.58232,91.7,15.64858,13,1025,-0.334579,3.030476,60,9.494421,68,100,1.030442,26,45.58833,0.01453027,0,0,0.004075,0.5127,0.000778,2.0752,1.693503,13.8259,34.91,-0.055501425,0.604411602,0.665540827,0,0,0,0.921715605,6.77E-09,6.77E-06,2.433365485,1.79E-08,1.79E-05,138259,237753.0898,0.001745942,1.745941626,1,3,3.5,9070,4114
7/18/2023 11:32,45.50732,-73.58234,91.5,14.88515,11,1256,-0.5723901,3.336373,60,10.33653,89,100,1.005677,26,45.4866,0.01562222,0,0,0.003586,0.4513,0.000485,1.2937,1.697508,13.8586,34.919,-0.053733389,0.665421059,0.707157176,0,0,0,0.811308942,6.49E-09,6.49E-06,1.516939532,1.21E-08,1.21E-05,138586,238308.4402,0.001905238,1.905238102,1,3,3.5,9070,4114
7/18/2023 11:33,45.50734,-73.58235,91.2,14.07168,11,1256,-0.5723901,3.336373,60,10.33653,89,100,1.005677,26,45.4866,0.01562222,0,0,0.00427,0.5373,0.000583,1.5542,1.715871,14.0085,34.894,-0.040296846,0.665421059,0.707157176,0,0,0,0.965990891,7.72E-09,7.72E-06,1.822539114,1.46E-08,1.46E-05,140085,240905.6361,0.001926002,1.92600227,1,3,3.5,9070,4114
7/18/2023 11:33,45.50738,-73.58237,90.3,12.95988,11,1114,-0.2378111,2.871082,60,8.68121,61,100,1.079761,26,45.33782,0.01668414,0,0,0.003782,0.4758,0,0,1.719876,14.0412,34.944,-0.035624992,0.572621354,0.63766204,0,0,0,0.855283527,5.74E-09,5.74E-06,0,0,0,140412,241428.7749,0.00162108,1.621079662,1,3,3.5,9070,4114
7/18/2023 11:33,45.5074,-73.58237,89.5,11.91294,9,1155,-0.1900461,2.449529,60,7.952186,63,100,1.028003,26,45.21634,0.01769242,0,0,0.00427,0.5373,0,0,1.719974,14.042,34.927,-0.030953139,0.488544951,0.556113678,0,0,0,0.965887368,5.94E-09,5.94E-06,0,0,0,140420,241455.8599,0.001485112,1.485112467,1,3,3.5,9070,4114
