DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Total Fuel Economy [L/100km],Trip Fuel [L],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
8/23/2024 10:01,45.50581,-73.57583,80.8,0.707846,0,544.75,-2.01E-15,1.514207,50,4.55,70.78723,102,0.999424,26,0,0.3629868,0,0,0.000337,0.0425,0.001001,2.6659,0,0,29.082,-0.066781055,0.302000174,0.309345524,0,0,0,0.079436787,2.80E-10,2.80E-07,3.250052356,1.14E-08,1.14E-05,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.5058,-73.57583,80.7,0,0,545.25,-2.01E-15,1.514207,50,4.55,71.50192,102,0.999424,26,0,0.3636237,0,0,0.001998,0.2516,0.002076,5.5269,0.001466,0.0116,29.107,-0.084776107,0.302000174,0.309345524,0,0,0,0.470226864,1.65E-09,1.65E-06,6.73739747,2.37E-08,2.37E-05,116,207.3738185,7.30E-07,0.000729794,2,3,4.3,11023,5000
8/23/2024 10:01,45.5058,-73.57585,80.6,0,0,559.75,-2.01E-15,1.537503,50,4.62,72.53538,102,0.999424,26,0,0.3643898,0,0,0,0,0.001197,3.1861,0,0,29.14,-0.066781055,0.306646432,0.314104686,0,0,0,0,0,0,3.883493014,1.39E-08,1.39E-05,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,559.75,-2.01E-15,1.537503,50,4.62,72.53538,102,0.999424,26,0,0.3643898,0,0,0.000239,0.0301,0.002466,6.5673,0.001368,0.0108,29.107,-0.048786003,0.306646432,0.314104686,0,0,0,0.056255281,2.01E-10,2.01E-07,8.005665093,2.86E-08,2.86E-05,108,193.0721758,6.90E-07,0.000689917,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,546.5,-2.01E-15,1.520863,50,4.57,69.89171,102,0.999424,26,0,0.3649909,0,0,0.000142,0.0178,0.001783,4.7467,0,0,29.107,-0.048786003,0.303327676,0.310705284,0,0,0,0.033267242,1.18E-10,1.18E-07,5.786318654,2.05E-08,2.05E-05,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,553,-2.01E-15,1.520863,50,4.57,71.58625,102,0.999424,26,0,0.365639,0,0,0.000923,0.1163,0.00188,5.0068,0.001368,0.0108,29.115,-0.048786003,0.303327676,0.310705284,0,0,0,0.217352688,7.68E-10,7.68E-07,6.103223942,2.16E-08,2.16E-05,108,193.0670633,6.82E-07,0.000682432,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,553,-2.01E-15,1.520863,50,4.57,71.58625,102,0.999424,26,0,0.365639,0,0,0,0,0.001783,4.7467,0,0,29.182,-0.048786003,0.303327676,0.310705284,0,0,0,0,0,0,5.78488252,2.04E-08,2.04E-05,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,551.75,-2.01E-15,1.504223,51,4.52,69.97081,102,0.999424,26,0,0.3663058,0,0,0.000337,0.0425,0.003443,9.1682,0.000685,0.0054,29.174,-0.048786003,0.300008921,0.307305883,0,0,0,0.079412602,2.78E-10,2.78E-07,11.17373419,3.91E-08,3.91E-05,54,96.5146833,3.37E-07,0.000337417,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,551.75,-2.01E-15,1.504223,51,4.52,69.97081,102,0.999424,26,0,0.3663058,0,0,0,0,0.002466,6.5673,0,0,29.14,-0.048786003,0.300008921,0.307305883,0,0,0,0,0,0,8.004790707,2.80E-08,2.80E-05,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,563.25,-2.01E-15,1.500896,51,4.51,70.19071,102,0.999424,26,0,0.3671209,0,0,0.0019,0.2393,0.003639,9.6884,0.001954,0.0155,29.157,-0.048786003,0.299345369,0.306626003,0,0,0,0.447164818,1.56E-09,1.56E-06,11.80839172,4.12E-08,4.12E-05,155,277.0484737,9.66E-07,0.000966423,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,556.25,-2.01E-15,1.537503,51,4.62,70.43462,102,0.999424,26,0,0.3677758,0,0,0.000972,0.1224,0.004176,11.1189,0.0003915,0.0031,29.1485,-0.048786003,0.306646432,0.314104686,0,0,0,0.228727595,8.17E-10,8.17E-07,13.55229143,4.84E-08,4.84E-05,31,55.41125352,1.98E-07,0.000198004,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,556.25,-2.01E-15,1.537503,51,4.62,70.43462,102,0.999424,26,0,0.3677758,0,0,4.40E-05,0.0055,0.004713,12.5494,0,0,29.14,-0.048786003,0.306646432,0.314104686,0,0,0,0.010278081,3.67E-11,3.67E-08,15.29628927,5.47E-08,5.47E-05,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,549,-2.01E-15,1.500896,51,4.51,69.62288,102,0.999424,26,0,0.368412,0,0,0.000923,0.1163,0.00696,18.5315,0.001759,0.0139,29.182,-0.048786003,0.299345369,0.306626003,0,0,0,0.217304496,7.58E-10,7.58E-07,22.58464837,7.88E-08,7.88E-05,139,248.4293669,8.67E-07,0.000866592,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,549,-2.01E-15,1.500896,51,4.51,69.62288,102,0.999424,26,0,0.368412,0,0,0.000728,0.0917,0.096679,257.4256,0,0,29.157,-0.048786003,0.299345369,0.306626003,0,0,0,0.171354007,5.98E-10,5.98E-07,313.754833,1.09E-06,0.001094465,0,0,0,0,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,551,-2.01E-15,1.517535,51,4.56,71.32437,102,0.999424,26,0,0.3690375,0,0,0.000825,0.104,0.211355,562.7731,0.001857,0.0147,29.174,-0.048786003,0.302663925,0.310025404,0,0,0,0.194327308,6.85E-10,6.85E-07,685.8791286,2.42E-06,0.002419065,147,262.7344157,9.27E-07,0.000926652,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,546.5,-2.01E-15,1.527519,51,4.59,71.53301,102,0.999424,26,0,0.3697997,0,0,0.001411,0.1778,0.178388,474.9922,0.047669,0.3776,29.157,-0.048786003,0.304655178,0.312065045,0,0,0,0.332243647,1.18E-09,1.18E-06,578.9288182,2.06E-06,0.002055289,3776,6749.258302,2.40E-05,0.023960937,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,546.5,-2.01E-15,1.527519,51,4.59,71.53301,102,0.999424,26,0,0.3697997,0,0,0.001314,0.1655,0.202125,538.1945,0.400099,3.1696,29.182,-0.048786003,0.304655178,0.312065045,0,0,0,0.309233827,1.10E-09,1.10E-06,655.9066204,2.33E-06,0.002328573,31696,56649.04471,0.000201113,0.201113091,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,545.5,-2.01E-15,1.524191,51,4.58,71.9649,102,0.999424,26,0,0.3704221,0,0,0.001118,0.1409,0.207155,551.5892,0.934799,7.4055,29.132,-0.048786003,0.303991427,0.311385165,0,0,0,0.26331273,9.33E-10,9.33E-07,672.3422128,2.38E-06,0.002381721,74055,132377.5638,0.000468937,0.46893746,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,547.75,-2.01E-15,1.524191,51,4.58,72.09683,102,0.999424,26,0,0.3711427,0,0,0.001802,0.227,0.174676,465.1087,1.308865,10.3689,29.174,-0.048786003,0.303991427,0.311385165,0,0,0,0.42415672,1.50E-09,1.50E-06,566.8507429,2.01E-06,0.002008026,103689,185324.2777,0.000656497,0.656497171,2,3,4.3,11023,5000
8/23/2024 10:01,45.50579,-73.57585,80.5,0,0,547.75,-2.01E-15,1.524191,51,4.58,72.09683,102,0.999424,26,0,0.3711427,0,0,0.004537,0.5716,0.194994,519.2078,1.485227,11.766,29.149,-0.048786003,0.303991427,0.311385165,0,0,0,1.068141152,3.78E-09,3.78E-06,632.8363216,2.24E-06,0.002241775,117660,210312.171,0.000745015,0.745014884,2,3,4.3,11023,5000
